id,sex,birthdate,Year of birth,Age,user_name,instagram_number_of_posts,instagram_number_of_followers,instagram_average_number_of_comments,instagram_average_number_of_reactions,instagram_average_engagement,instagram_average_engagement_rate
268,female,19/12/2011,2011,6,insta_268,100,987,"1,7","43,71","45,41","0,04600810537"
394,male,14/05/2003,2003,15,insta_394,30,230,"1,966666667","49,7","51,66666667","0,2246376812"
14578,female,06/10/2000,2000,17,insta_14578,2,14,0,0,0,0
13761,female,19/09/2000,2000,17,insta_13761,2,28,"1,5",9,"10,5","0,375"
13348,male,17/11/2000,2000,17,insta_13348,16,48,"0,25","12,375","12,625","0,2630208333"
13708,male,05/09/2000,2000,17,insta_13708,1,61,0,2,2,"0,03278688525"
13030,female,22/11/2000,2000,17,insta_13030,3,85,1,"16,33333333","17,33333333","0,2039215686"
13346,female,05/07/2000,2000,17,insta_13346,4,97,0,"17,5","17,5","0,1804123711"
13058,female,15/11/2000,2000,17,insta_13058,1,121,6,30,36,"0,2975206612"
16198,female,31/07/2000,2000,17,insta_16198,10,125,"3,4","24,8","28,2","0,2256"
13331,female,01/09/2000,2000,17,insta_13331,2,132,"2,5","52,5",55,"0,4166666667"
14284,female,22/10/2000,2000,17,insta_14284,18,153,"3,611111111","58,22222222","61,83333333","0,4041394336"
13291,female,17/08/2000,2000,17,insta_13291,8,161,"2,5","23,875","26,375","0,1638198758"
13777,female,12/12/2000,2000,17,insta_13777,14,173,"0,3571428571","8,071428571","8,428571429","0,04872006606"
13279,female,28/09/2000,2000,17,insta_13279,24,202,"8,166666667","126,5833333","134,75","0,6670792079"
15799,female,11/08/2000,2000,17,insta_15799,7,244,"6,571428571","108,4285714",115,"0,4713114754"
13213,female,01/10/2000,2000,17,insta_13213,4,256,"2,25","35,75",38,"0,1484375"
15658,female,22/08/2000,2000,17,insta_15658,87,324,"0,9195402299","41,51724138","42,43678161","0,130977721"
15056,male,16/12/2000,2000,17,insta_15056,6,329,"0,5","19,83333333","20,33333333","0,06180344478"
13655,female,22/08/2000,2000,17,insta_13655,38,343,"5,342105263","38,42105263","43,76315789","0,1275893816"
14451,female,14/07/2000,2000,17,insta_14451,27,356,"1,481481481","23,25925926","24,74074074","0,06949646275"
14784,female,06/07/2000,2000,17,insta_14784,9,356,"1,222222222",18,"19,22222222","0,05399500624"
15085,female,25/07/2000,2000,17,insta_15085,33,372,"2,181818182","64,39393939","66,57575758","0,1789670903"
13731,female,23/10/2000,2000,17,insta_13731,11,380,"1,909090909","51,54545455","53,45454545","0,1406698565"
14159,female,11/11/2000,2000,17,insta_14159,28,441,"12,75","45,46428571","58,21428571","0,132005183"
13650,female,24/10/2000,2000,17,insta_13650,17,465,"1,352941176","45,88235294","47,23529412","0,1015812777"
14941,male,20/11/2000,2000,17,insta_14941,16,477,"3,375","69,0625","72,4375","0,151860587"
13813,female,19/09/2000,2000,17,insta_13813,3,515,"0,6666666667",24,"24,66666667","0,04789644013"
14453,male,11/12/2000,2000,17,insta_14453,10,553,"8,1","64,7","72,8","0,1316455696"
14067,female,23/07/2000,2000,17,insta_14067,5,558,"14,2","374,2","388,4","0,6960573477"
13730,female,03/09/2000,2000,17,insta_13730,47,570,"2,531914894",140,"142,5319149","0,250055991"
14789,female,25/06/2000,2000,17,insta_14789,28,571,"14,92857143",423,"437,9285714","0,7669502127"
14669,female,07/08/2000,2000,17,insta_14669,20,598,"11,2","165,1","176,3","0,2948160535"
14443,female,02/07/2000,2000,17,insta_14443,33,599,"9,03030303","54,78787879","63,81818182","0,106541205"
